City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Butaritari,KI,2022-02-09 18:46:28,3.0707,172.7902,81.77,78,100,16.06
68,Upernavik,GL,2022-02-09 18:46:29,72.7868,-56.1549,-12.41,69,100,8.59
69,Illela,NG,2022-02-09 18:46:29,13.7292,5.2975,79.52,10,2,10.33
70,Ponta Delgada,PT,2022-02-09 18:46:30,37.7333,-25.6667,63.5,72,20,12.66
71,Constitucion,CL,2022-02-09 18:45:56,-35.3333,-72.4167,70.84,63,12,12.62
72,Georgetown,MY,2022-02-09 18:46:30,5.4112,100.3354,79.95,97,20,3.44
73,Tahe,CN,2022-02-09 18:46:31,52.3333,124.7333,-4.04,100,100,2.26
74,Puerto Ayora,EC,2022-02-09 18:46:31,-0.7393,-90.3518,80.56,72,70,9.86
75,Abeche,TD,2022-02-09 18:46:32,13.8292,20.8324,71.62,9,0,8.84
76,Kavieng,PG,2022-02-09 18:46:32,-2.5744,150.7967,80.94,80,88,6.73
77,Matagami,CA,2022-02-09 18:46:33,49.7502,-77.6328,23.11,80,100,13.8
78,Antigonish,CA,2022-02-09 18:46:33,45.6169,-61.9986,34.14,86,100,10.0
79,Udomlya,RU,2022-02-09 18:46:33,57.8794,34.9925,23.81,96,84,5.14
80,Busselton,AU,2022-02-09 18:46:34,-33.65,115.3333,61.09,69,8,10.92
81,Richards Bay,ZA,2022-02-09 18:46:34,-28.783,32.0377,72.07,85,0,0.76
82,Yambio,SS,2022-02-09 18:46:35,4.5721,28.3955,80.24,28,31,3.2
83,Sitka,US,2022-02-09 18:46:35,57.0531,-135.33,46.29,87,100,11.5
84,Geraldton,AU,2022-02-09 18:46:36,-28.7667,114.6,64.81,82,0,8.05
85,Lakatoro,VU,2022-02-09 18:46:36,-16.0999,167.4164,80.49,86,100,24.2
86,Turbat,PK,2022-02-09 18:46:37,26.0023,63.044,67.98,15,0,8.39
87,Sungaipenuh,ID,2022-02-09 18:46:38,-2.0833,101.3833,61.11,78,100,3.0
88,Carnarvon,AU,2022-02-09 18:46:38,-24.8667,113.6333,77.07,73,0,16.11
89,Sept-Iles,CA,2022-02-09 18:46:38,50.2001,-66.3821,36.12,80,75,8.05
90,New Norfolk,AU,2022-02-09 18:46:39,-42.7826,147.0587,62.1,65,98,1.01
91,Sambava,MG,2022-02-09 18:46:39,-14.2667,50.1667,78.12,87,58,3.62
92,Mitsamiouli,KM,2022-02-09 18:46:40,-11.3847,43.2844,82.69,78,20,8.05
93,Vanimo,PG,2022-02-09 18:46:40,-2.6741,141.3028,76.59,90,93,3.22
94,Caravelas,BR,2022-02-09 18:46:41,-17.7125,-39.2481,83.44,66,6,10.69
95,Inhambane,MZ,2022-02-09 18:46:41,-23.865,35.3833,77.14,77,0,7.87
96,Mount Gambier,AU,2022-02-09 18:46:42,-37.8333,140.7667,55.31,94,100,5.75
