City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Axim,GH,4.8699,-2.2405,80.4,84,16,3.98,few clouds
80,Sawakin,SD,19.1059,37.3321,71.46,67,100,15.77,overcast clouds
81,Cherskiy,RU,68.75,161.3,-33.57,99,93,5.06,overcast clouds
82,Saint-Philippe,RE,-21.3585,55.7679,83.79,78,70,8.43,light rain
83,Ust-Omchug,RU,61.15,149.6333,-26.48,95,91,1.45,overcast clouds
84,Te Anau,NZ,-45.4167,167.7167,60.35,78,54,5.91,broken clouds
85,Grand Gaube,MU,-20.0064,57.6608,81.37,74,13,3.0,few clouds
86,Pec,XK,42.6591,20.2883,28.69,71,0,1.57,clear sky
87,Zhigansk,RU,66.7697,123.3711,-20.18,97,100,11.07,overcast clouds
88,Sikonge,TZ,-5.6333,32.7667,73.76,76,89,3.83,light rain
89,Alice Springs,AU,-23.7,133.8833,89.15,18,0,11.5,clear sky
90,Godda,IN,24.8333,87.2167,73.83,31,0,12.48,clear sky
91,Yellowknife,CA,62.456,-114.3525,-16.58,92,100,2.28,overcast clouds
92,Chapais,CA,49.7834,-74.8492,-2.42,100,94,1.63,overcast clouds
93,Mariental,NA,-24.6333,17.9667,81.46,41,72,2.64,broken clouds
94,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,5.75,broken clouds
95,Bambous Virieux,MU,-20.3428,57.7575,80.22,70,28,7.63,light rain
96,Busselton,AU,-33.65,115.3333,94.08,44,21,14.27,few clouds
97,Deputatskiy,RU,69.3,139.9,-10.17,93,100,4.72,overcast clouds
98,Ginir,ET,7.1333,40.7,73.17,20,3,9.91,clear sky
99,College,US,64.8569,-147.8028,-4.34,76,75,4.61,broken clouds
100,Orimattila,FI,60.8049,25.7296,24.82,91,16,7.96,few clouds
101,Panhala,IN,16.8167,74.1167,83.21,28,0,11.34,clear sky
102,Jacareacanga,BR,-6.2222,-57.7528,71.94,100,100,0.27,heavy intensity rain
103,Smithers,CA,54.7804,-127.1743,19.06,98,50,3.24,scattered clouds
104,Despotovac,RS,44.0925,21.4469,44.38,74,0,3.67,clear sky
105,Bara,NG,10.3744,10.7288,73.98,18,7,11.63,clear sky
106,Gigmoto,PH,13.7796,124.39,80.44,72,80,12.59,broken clouds
107,General Pico,AR,-35.6566,-63.7568,62.47,95,100,9.69,moderate rain
108,Beli Potok,RS,44.7061,20.5197,48.25,56,0,1.9,clear sky
109,Krasnoselkup,RU,65.7,82.4667,-1.89,85,98,8.25,overcast clouds
